X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s)
-26200,-71700,2070,-16,900,148
-23200,-71700,2070,-49,821,202
-20200,-71700,2070,-14,790,262
-17100,-71700,2070,-5,879,272
-14100,-71700,2070,-8,908,265
-11100,-71700,2070,-14,900,257
-8050,-71700,2070,-10,907,289
-5030,-71700,2070,-13,912,297
-2000,-71700,2070,-20,906,321
1030,-71700,2070,-21,906,345
4050,-71700,2070,-25,918,343
7080,-71700,2070,-30,890,341
10100,-71700,2070,-33,851,344
13100,-71700,2070,-39,858,388
16200,-71700,2070,-31,842,360
19200,-71700,2070,-47,831,362
22200,-71700,2070,-41,829,385
25200,-71700,2070,-35,829,341
28300,-71700,2070,-35,826,331
31300,-71700,2070,-12,870,277
34300,-71700,2070,-10,900,294
37300,-71700,2070,-7,918,306
40400,-71700,2070,-12,889,319
43400,-71700,2070,-1,870,285
46400,-71700,2070,9,906,342
49400,-71700,2070,-7,901,310
52500,-71700,2070,0,853,316
55500,-71700,2070,2,891,298
58500,-71700,2070,7,905,321
61600,-71700,2070,7,873,344
64600,-71700,2070,11,901,325
67600,-71700,2070,6,912,303
70600,-71700,2070,5,916,318
73700,-71700,2070,3,921,305
76700,-71700,2070,-5,925,287
79700,-71700,2070,-3,907,312
82700,-71700,2070,-1,915,282
85800,-71700,2070,1,911,289
88800,-71700,2070,2,911,311
91800,-71700,2070,-1,890,285
94800,-71700,2070,5,852,297
97900,-71700,2070,18,881,298
101000,-71700,2070,14,893,281
104000,-71700,2070,10,883,268
107000,-71700,2070,1,883,253
110000,-71700,2070,6,820,223
113000,-71700,2070,8,859,175
-26200,-68700,2070,27,706,208
-23200,-68700,2070,51,556,114
-20200,-68700,2070,3,580,93
-17100,-68700,2070,-6,634,121
-14100,-68700,2070,-1,654,138
-11100,-68700,2070,-15,654,129
-8050,-68700,2070,-12,693,140
-5030,-68700,2070,-12,709,146
-2000,-68700,2070,-22,716,139
1030,-68700,2070,-24,693,138
4050,-68700,2070,-26,722,159
7080,-68700,2070,-31,721,142
10100,-68700,2070,-36,639,108
13100,-68700,2070,-53,613,102
16200,-68700,2070,-74,615,104
19200,-68700,2070,-110,589,117
22200,-68700,2070,-118,529,121
25200,-68700,2070,-70,511,123
28300,-68700,2070,-26,532,122
31300,-68700,2070,-18,606,138
34300,-68700,2070,-9,660,154
37300,-68700,2070,2,685,160
40400,-68700,2070,7,688,149
43400,-68700,2070,-8,668,120
46400,-68700,2070,-13,683,151
49400,-68700,2070,0,648,139
52500,-68700,2070,-7,650,126
55500,-68700,2070,-4,695,149
58500,-68700,2070,10,675,147
61600,-68700,2070,10,680,139
64600,-68700,2070,6,666,134
67600,-68700,2070,9,739,173
70600,-68700,2070,13,790,191
73700,-68700,2070,6,785,182
76700,-68700,2070,-6,768,177
79700,-68700,2070,-13,735,159
82700,-68700,2070,-4,733,161
85800,-68700,2070,-4,723,162
88800,-68700,2070,13,711,144
91800,-68700,2070,11,697,135
94800,-68700,2070,14,617,108
97900,-68700,2070,-2,628,107
101000,-68700,2070,5,653,126
104000,-68700,2070,3,687,129
107000,-68700,2070,-13,663,138
110000,-68700,2070,-36,489,86
113000,-68700,2070,-35,604,205
-26200,-65700,2070,57,568,232
-23200,-65700,2070,88,401,104
-20200,-65700,2070,48,405,33
-17100,-65700,2070,22,496,29
-14100,-65700,2070,5,479,22
-11100,-65700,2070,-3,512,24
-8050,-65700,2070,-15,496,27
-5030,-65700,2070,-22,513,27
-2000,-65700,2070,-29,515,26
1030,-65700,2070,-33,504,27
4050,-65700,2070,-47,583,36
7080,-65700,2070,-50,477,25
10100,-65700,2070,-70,478,26
13100,-65700,2070,-82,450,27
16200,-65700,2070,-102,462,34
19200,-65700,2070,-125,392,39
22200,-65700,2070,-138,202,33
25200,-65700,2070,-52,133,47
28300,-65700,2070,-12,232,49
31300,-65700,2070,6,322,48
34300,-65700,2070,22,384,41
37300,-65700,2070,22,456,42
40400,-65700,2070,12,464,38
43400,-65700,2070,-5,476,33
46400,-65700,2070,-23,470,31
49400,-65700,2070,-22,459,36
52500,-65700,2070,-15,444,35
55500,-65700,2070,5,453,41
58500,-65700,2070,22,459,39
61600,-65700,2070,23,477,37
64600,-65700,2070,18,488,35
67600,-65700,2070,11,500,35
70600,-65700,2070,10,544,45
73700,-65700,2070,9,563,52
76700,-65700,2070,1,498,40
79700,-65700,2070,-11,535,38
82700,-65700,2070,-11,480,32
85800,-65700,2070,-2,519,34
88800,-65700,2070,6,482,30
91800,-65700,2070,15,539,33
94800,-65700,2070,18,488,26
97900,-65700,2070,11,477,24
101000,-65700,2070,7,540,33
104000,-65700,2070,-7,497,30
107000,-65700,2070,-23,457,33
110000,-65700,2070,-52,345,36
113000,-65700,2070,-73,438,199
-26200,-62600,2070,59,463,224
-23200,-62600,2070,87,322,105
-20200,-62600,2070,57,363,27
-17100,-62600,2070,35,397,20
-14100,-62600,2070,13,441,18
-11100,-62600,2070,-6,487,19
-8050,-62600,2070,-19,421,15
-5030,-62600,2070,-32,465,17
-2000,-62600,2070,-41,466,18
1030,-62600,2070,-59,461,16
4050,-62600,2070,-58,427,16
7080,-62600,2070,-59,400,14
10100,-62600,2070,-86,472,14
13100,-62600,2070,-83,367,7
16200,-62600,2070,-73,345,11
19200,-62600,2070,-40,234,1
22200,-62600,2070,0,0,0
25200,-62600,2070,0,0,0
28300,-62600,2070,9,59,12
31300,-62600,2070,19,126,22
34300,-62600,2070,42,229,26
37300,-62600,2070,31,329,30
40400,-62600,2070,2,380,31
43400,-62600,2070,-15,347,27
46400,-62600,2070,-26,362,32
49400,-62600,2070,-36,321,26
52500,-62600,2070,-22,283,24
55500,-62600,2070,14,255,23
58500,-62600,2070,32,296,27
61600,-62600,2070,27,333,33
64600,-62600,2070,21,373,35
67600,-62600,2070,12,371,27
70600,-62600,2070,9,435,32
73700,-62600,2070,6,465,34
76700,-62600,2070,1,441,29
79700,-62600,2070,-8,388,23
82700,-62600,2070,-14,370,22
85800,-62600,2070,-7,380,24
88800,-62600,2070,8,401,28
91800,-62600,2070,21,373,24
94800,-62600,2070,27,378,21
97900,-62600,2070,22,375,17
101000,-62600,2070,14,399,20
104000,-62600,2070,3,425,24
107000,-62600,2070,-14,386,24
110000,-62600,2070,-52,306,43
113000,-62600,2070,-67,400,181
-26200,-59600,2070,37,370,179
-23200,-59600,2070,66,244,76
-20200,-59600,2070,44,274,19
-17100,-59600,2070,29,323,14
-14100,-59600,2070,16,364,12
-11100,-59600,2070,-3,373,11
-8050,-59600,2070,-27,422,11
-5030,-59600,2070,-37,377,8
-2000,-59600,2070,-53,414,11
1030,-59600,2070,-74,458,13
4050,-59600,2070,-76,408,10
7080,-59600,2070,-75,397,9
10100,-59600,2070,-77,400,5
13100,-59600,2070,-74,365,-1
16200,-59600,2070,-56,299,-5
19200,-59600,2070,-17,214,-8
22200,-59600,2070,-1,118,-16
25200,-59600,2070,-18,39,-13
28300,-59600,2070,0,0,0
31300,-59600,2070,0,0,0
34300,-59600,2070,19,144,7
37300,-59600,2070,-8,221,13
40400,-59600,2070,-27,297,23
43400,-59600,2070,-28,288,21
46400,-59600,2070,-21,281,25
49400,-59600,2070,-26,222,19
52500,-59600,2070,-39,161,18
55500,-59600,2070,10,97,16
58500,-59600,2070,37,179,31
61600,-59600,2070,34,213,28
64600,-59600,2070,12,231,24
67600,-59600,2070,2,283,28
70600,-59600,2070,1,322,28
73700,-59600,2070,0,358,29
76700,-59600,2070,-5,356,27
79700,-59600,2070,-11,322,26
82700,-59600,2070,-13,281,21
85800,-59600,2070,-8,262,24
88800,-59600,2070,10,261,21
91800,-59600,2070,27,265,22
94800,-59600,2070,39,288,21
97900,-59600,2070,38,316,23
101000,-59600,2070,31,370,25
104000,-59600,2070,18,338,20
107000,-59600,2070,2,304,17
110000,-59600,2070,-31,276,39
113000,-59600,2070,-47,345,144
-26200,-56600,2070,33,348,156
-23200,-56600,2070,52,212,58
-20200,-56600,2070,28,239,12
-17100,-56600,2070,21,326,9
-14100,-56600,2070,7,331,6
-11100,-56600,2070,-11,395,7
-8050,-56600,2070,-31,408,6
-5030,-56600,2070,-45,369,4
-2000,-56600,2070,-64,403,6
1030,-56600,2070,-71,381,6
4050,-56600,2070,-80,374,5
7080,-56600,2070,-80,349,4
10100,-56600,2070,-76,350,3
13100,-56600,2070,-59,302,-1
16200,-56600,2070,-48,278,-5
19200,-56600,2070,-32,222,-8
22200,-56600,2070,-13,167,-13
25200,-56600,2070,3,96,-9
28300,-56600,2070,0,0,0
31300,-56600,2070,0,0,0
34300,-56600,2070,-81,150,-1
37300,-56600,2070,-64,192,6
40400,-56600,2070,-48,226,12
43400,-56600,2070,-46,199,11
46400,-56600,2070,-11,176,10
49400,-56600,2070,10,166,10
52500,-56600,2070,-15,91,6
55500,-56600,2070,0,0,0
58500,-56600,2070,23,46,19
61600,-56600,2070,19,108,21
64600,-56600,2070,8,162,21
67600,-56600,2070,-10,195,21
70600,-56600,2070,-7,225,24
73700,-56600,2070,-5,251,25
76700,-56600,2070,-10,261,28
79700,-56600,2070,-12,219,24
82700,-56600,2070,-11,206,21
85800,-56600,2070,-9,165,17
88800,-56600,2070,10,139,13
91800,-56600,2070,32,164,12
94800,-56600,2070,48,210,13
97900,-56600,2070,42,258,21
101000,-56600,2070,28,248,19
104000,-56600,2070,33,283,21
107000,-56600,2070,36,279,15
110000,-56600,2070,-5,249,24
113000,-56600,2070,-26,327,106
-26200,-53600,2070,21,301,105
-23200,-53600,2070,40,201,43
-20200,-53600,2070,18,205,8
-17100,-53600,2070,7,274,5
-14100,-53600,2070,-5,325,5
-11100,-53600,2070,-18,375,5
-8050,-53600,2070,-33,368,3
-5030,-53600,2070,-51,370,3
-2000,-53600,2070,-69,405,5
1030,-53600,2070,-79,380,5
4050,-53600,2070,-85,345,3
7080,-53600,2070,-104,391,5
10100,-53600,2070,-87,341,4
13100,-53600,2070,-61,299,3
16200,-53600,2070,-39,261,-3
19200,-53600,2070,-27,248,-7
22200,-53600,2070,-17,185,-8
25200,-53600,2070,-14,117,-5
28300,-53600,2070,-49,51,-2
31300,-53600,2070,-117,80,1
34300,-53600,2070,-141,143,-2
37300,-53600,2070,-16,85,-2
40400,-53600,2070,-39,199,4
43400,-53600,2070,-58,133,0
46400,-53600,2070,-5,59,3
49400,-53600,2070,57,104,5
52500,-53600,2070,86,97,0
55500,-53600,2070,28,26,-6
58500,-53600,2070,0,0,0
61600,-53600,2070,0,0,0
64600,-53600,2070,6,96,19
67600,-53600,2070,-27,122,13
70600,-53600,2070,-5,111,12
73700,-53600,2070,6,158,15
76700,-53600,2070,-10,203,27
79700,-53600,2070,-14,132,17
82700,-53600,2070,-4,111,15
85800,-53600,2070,-17,94,13
88800,-53600,2070,8,36,8
91800,-53600,2070,36,82,10
94800,-53600,2070,46,123,14
97900,-53600,2070,30,177,18
101000,-53600,2070,14,186,14
104000,-53600,2070,37,190,11
107000,-53600,2070,66,215,8
110000,-53600,2070,27,262,19
113000,-53600,2070,-10,331,79
-26200,-50600,2070,12,271,65
-23200,-50600,2070,21,194,25
-20200,-50600,2070,8,215,5
-17100,-50600,2070,-4,271,4
-14100,-50600,2070,-15,343,5
-11100,-50600,2070,-25,325,3
-8050,-50600,2070,-41,385,4
-5030,-50600,2070,-48,333,3
-2000,-50600,2070,-67,379,5
1030,-50600,2070,-68,307,5
4050,-50600,2070,-82,319,4
7080,-50600,2070,-87,306,5
10100,-50600,2070,-72,251,5
13100,-50600,2070,-60,256,8
16200,-50600,2070,-36,244,7
19200,-50600,2070,-18,219,4
22200,-50600,2070,-24,197,0
25200,-50600,2070,-44,145,-1
28300,-50600,2070,-75,92,-1
31300,-50600,2070,-63,76,3
34300,-50600,2070,-2,36,7
37300,-50600,2070,-34,85,3
40400,-50600,2070,-73,221,6
43400,-50600,2070,-35,80,2
46400,-50600,2070,0,0,0
49400,-50600,2070,29,25,3
52500,-50600,2070,62,64,3
55500,-50600,2070,77,107,3
58500,-50600,2070,37,61,-8
61600,-50600,2070,1,1,-2
64600,-50600,2070,0,0,0
67600,-50600,2070,-58,100,-4
70600,-50600,2070,8,31,5
73700,-50600,2070,26,98,18
76700,-50600,2070,2,126,20
79700,-50600,2070,-14,57,11
82700,-50600,2070,10,44,12
85800,-50600,2070,-12,38,8
88800,-50600,2070,0,0,0
91800,-50600,2070,0,0,0
94800,-50600,2070,0,0,0
97900,-50600,2070,-3,129,13
101000,-50600,2070,3,129,14
104000,-50600,2070,16,69,0
107000,-50600,2070,73,176,-3
110000,-50600,2070,26,261,8
113000,-50600,2070,-4,365,64
-26200,-47600,2070,8,259,47
-23200,-47600,2070,15,177,19
-20200,-47600,2070,2,183,2
-17100,-47600,2070,-9,255,0
-14100,-47600,2070,-22,296,2
-11100,-47600,2070,-32,326,3
-8050,-47600,2070,-47,377,5
-5030,-47600,2070,-60,401,6
-2000,-47600,2070,-59,331,4
1030,-47600,2070,-65,289,5
4050,-47600,2070,-82,320,9
7080,-47600,2070,-79,290,9
10100,-47600,2070,-64,213,5
13100,-47600,2070,-54,173,5
16200,-47600,2070,-27,178,9
19200,-47600,2070,-3,172,7
22200,-47600,2070,-10,209,7
25200,-47600,2070,-42,175,3
28300,-47600,2070,-43,84,-1
31300,-47600,2070,-1,13,1
34300,-47600,2070,0,0,0
37300,-47600,2070,-72,135,3
40400,-47600,2070,-84,132,2
43400,-47600,2070,0,0,0
46400,-47600,2070,0,0,0
49400,-47600,2070,0,0,0
52500,-47600,2070,0,0,0
55500,-47600,2070,46,54,14
58500,-47600,2070,40,95,14
61600,-47600,2070,16,96,-3
64600,-47600,2070,-8,109,-6
67600,-47600,2070,34,62,0
70600,-47600,2070,0,0,0
73700,-47600,2070,0,1,1
76700,-47600,2070,1,73,29
79700,-47600,2070,0,0,0
82700,-47600,2070,-19,46,-10
85800,-47600,2070,0,0,0
88800,-47600,2070,24,29,-13
91800,-47600,2070,47,39,-8
94800,-47600,2070,-3,57,-9
97900,-47600,2070,-15,69,-1
101000,-47600,2070,1,106,3
104000,-47600,2070,0,0,0
107000,-47600,2070,-15,205,9
110000,-47600,2070,-18,302,10
113000,-47600,2070,-16,351,54
-26200,-44500,2070,2,246,33
-23200,-44500,2070,12,177,16
-20200,-44500,2070,-2,203,3
-17100,-44500,2070,-17,261,1
-14100,-44500,2070,-32,336,2
-11100,-44500,2070,-36,319,3
-8050,-44500,2070,-43,329,4
-5030,-44500,2070,-44,295,4
-2000,-44500,2070,-62,335,6
1030,-44500,2070,-70,312,12
4050,-44500,2070,-69,274,14
7080,-44500,2070,-71,274,17
10100,-44500,2070,-61,173,10
13100,-44500,2070,-65,127,7
16200,-44500,2070,-20,98,5
19200,-44500,2070,26,131,5
22200,-44500,2070,36,202,8
25200,-44500,2070,10,169,6
28300,-44500,2070,0,0,0
31300,-44500,2070,0,0,0
34300,-44500,2070,-43,110,-3
37300,-44500,2070,-93,189,3
40400,-44500,2070,0,0,0
43400,-44500,2070,0,0,0
46400,-44500,2070,0,0,0
49400,-44500,2070,-14,17,-11
52500,-44500,2070,0,10,-13
55500,-44500,2070,0,0,0
58500,-44500,2070,0,0,0
61600,-44500,2070,-8,102,7
64600,-44500,2070,2,78,8
67600,-44500,2070,25,60,2
70600,-44500,2070,15,35,-8
73700,-44500,2070,0,0,0
76700,-44500,2070,0,0,0
79700,-44500,2070,-2,2,-1
82700,-44500,2070,0,0,0
85800,-44500,2070,20,16,-1
88800,-44500,2070,4,20,-1
91800,-44500,2070,45,33,-1
94800,-44500,2070,54,141,5
97900,-44500,2070,0,0,0
101000,-44500,2070,-4,94,2
104000,-44500,2070,0,0,0
107000,-44500,2070,-28,176,9
110000,-44500,2070,-43,295,12
113000,-44500,2070,-27,333,45
-26200,-41500,2070,-1,259,22
-23200,-41500,2070,2,130,6
-20200,-41500,2070,-9,203,0
-17100,-41500,2070,-28,254,-1
-14100,-41500,2070,-44,331,0
-11100,-41500,2070,-40,287,1
-8050,-41500,2070,-45,313,4
-5030,-41500,2070,-45,316,5
-2000,-41500,2070,-53,334,9
1030,-41500,2070,-57,285,13
4050,-41500,2070,-50,194,13
7080,-41500,2070,-36,162,11
10100,-41500,2070,-34,151,9
13100,-41500,2070,-48,70,3
16200,-41500,2070,-2,21,3
19200,-41500,2070,36,78,2
22200,-41500,2070,62,152,5
25200,-41500,2070,68,156,9
28300,-41500,2070,42,44,9
31300,-41500,2070,1,1,1
34300,-41500,2070,-60,169,7
37300,-41500,2070,-68,134,1
40400,-41500,2070,0,0,0
43400,-41500,2070,0,0,0
46400,-41500,2070,-60,100,-11
49400,-41500,2070,-7,4,-3
52500,-41500,2070,17,85,-14
55500,-41500,2070,-10,31,-9
58500,-41500,2070,0,0,0
61600,-41500,2070,-31,130,0
64600,-41500,2070,0,0,0
67600,-41500,2070,15,22,2
70600,-41500,2070,28,64,-6
73700,-41500,2070,23,82,-14
76700,-41500,2070,5,39,-16
79700,-41500,2070,2,104,-6
82700,-41500,2070,0,0,0
85800,-41500,2070,0,0,0
88800,-41500,2070,0,0,0
91800,-41500,2070,0,0,0
94800,-41500,2070,-28,137,4
97900,-41500,2070,28,13,-1
101000,-41500,2070,13,63,-5
104000,-41500,2070,3,74,-7
107000,-41500,2070,-31,174,0
110000,-41500,2070,-37,272,12
113000,-41500,2070,-24,322,39
-26200,-38500,2070,3,274,16
-23200,-38500,2070,-6,177,-1
-20200,-38500,2070,-19,204,-4
-17100,-38500,2070,-37,259,-3
-14100,-38500,2070,-49,309,-1
-11100,-38500,2070,-53,317,4
-8050,-38500,2070,-45,276,8
-5030,-38500,2070,-39,303,11
-2000,-38500,2070,-30,289,10
1030,-38500,2070,-26,222,9
4050,-38500,2070,-30,149,10
7080,-38500,2070,-21,75,14
10100,-38500,2070,0,107,22
13100,-38500,2070,-1,40,6
16200,-38500,2070,0,0,0
19200,-38500,2070,-28,80,-2
22200,-38500,2070,57,105,3
25200,-38500,2070,42,142,20
28300,-38500,2070,-2,22,8
31300,-38500,2070,0,0,0
34300,-38500,2070,-45,160,18
37300,-38500,2070,0,0,0
40400,-38500,2070,-6,10,-3
43400,-38500,2070,-47,49,0
46400,-38500,2070,0,0,0
49400,-38500,2070,0,0,0
52500,-38500,2070,-44,124,-1
55500,-38500,2070,0,0,0
58500,-38500,2070,-20,68,-8
61600,-38500,2070,19,127,-26
64600,-38500,2070,21,28,-12
67600,-38500,2070,0,0,0
70600,-38500,2070,18,24,2
73700,-38500,2070,20,103,4
76700,-38500,2070,-1,32,6
79700,-38500,2070,66,63,1
82700,-38500,2070,91,60,-5
85800,-38500,2070,0,0,0
88800,-38500,2070,0,0,0
91800,-38500,2070,-23,17,18
94800,-38500,2070,-36,78,15
97900,-38500,2070,0,0,0
101000,-38500,2070,-16,62,-1
104000,-38500,2070,18,103,0
107000,-38500,2070,-4,196,-2
110000,-38500,2070,-21,197,10
113000,-38500,2070,-12,296,40
-26200,-35500,2070,-5,297,10
-23200,-35500,2070,-7,229,1
-20200,-35500,2070,-23,246,-3
-17100,-35500,2070,-51,359,3
-14100,-35500,2070,-65,369,6
-11100,-35500,2070,-58,291,8
-8050,-35500,2070,-48,222,11
-5030,-35500,2070,-38,253,17
-2000,-35500,2070,-16,271,16
1030,-35500,2070,4,214,9
4050,-35500,2070,7,115,2
7080,-35500,2070,0,0,0
10100,-35500,2070,0,0,0
13100,-35500,2070,0,0,0
16200,-35500,2070,-1,0,3
19200,-35500,2070,0,0,0
22200,-35500,2070,-6,50,19
25200,-35500,2070,28,76,10
28300,-35500,2070,0,0,0
31300,-35500,2070,-5,77,-8
34300,-35500,2070,-17,67,12
37300,-35500,2070,0,0,0
40400,-35500,2070,-1,29,0
43400,-35500,2070,-14,45,2
46400,-35500,2070,-13,17,1
49400,-35500,2070,-38,18,-1
52500,-35500,2070,-35,73,2
55500,-35500,2070,8,7,-2
58500,-35500,2070,-26,113,-11
61600,-35500,2070,-9,166,-15
64600,-35500,2070,5,95,-8
67600,-35500,2070,0,0,0
70600,-35500,2070,0,0,0
73700,-35500,2070,-60,118,7
76700,-35500,2070,0,0,0
79700,-35500,2070,0,0,0
82700,-35500,2070,28,18,3
85800,-35500,2070,75,91,-1
88800,-35500,2070,16,23,-4
91800,-35500,2070,-4,8,-11
94800,-35500,2070,0,0,0
97900,-35500,2070,-16,37,-3
101000,-35500,2070,0,0,0
104000,-35500,2070,-8,89,0
107000,-35500,2070,-13,209,0
110000,-35500,2070,-12,188,1
113000,-35500,2070,-8,244,22
-26200,-32500,2070,-5,315,16
-23200,-32500,2070,-10,224,6
-20200,-32500,2070,-23,270,4
-17100,-32500,2070,-41,309,5
-14100,-32500,2070,-60,332,10
-11100,-32500,2070,-59,243,10
-8050,-32500,2070,-51,164,10
-5030,-32500,2070,-33,151,15
-2000,-32500,2070,-17,197,24
1030,-32500,2070,15,154,10
4050,-32500,2070,38,113,0
7080,-32500,2070,46,61,-8
10100,-32500,2070,32,32,-17
13100,-32500,2070,17,22,-15
16200,-32500,2070,7,6,-5
19200,-32500,2070,0,0,0
22200,-32500,2070,0,0,0
25200,-32500,2070,0,0,0
28300,-32500,2070,16,99,-2
31300,-32500,2070,2,120,-9
34300,-32500,2070,21,54,-11
37300,-32500,2070,0,0,0
40400,-32500,2070,-6,22,-1
43400,-32500,2070,-14,13,9
46400,-32500,2070,-14,7,4
49400,-32500,2070,-23,40,8
52500,-32500,2070,0,0,0
55500,-32500,2070,-19,50,-4
58500,-32500,2070,-40,132,-2
61600,-32500,2070,-31,162,-1
64600,-32500,2070,1,63,4
67600,-32500,2070,13,14,5
70600,-32500,2070,-48,50,3
73700,-32500,2070,0,0,0
76700,-32500,2070,-18,32,-10
79700,-32500,2070,0,0,0
82700,-32500,2070,0,0,0
85800,-32500,2070,-18,94,-2
88800,-32500,2070,-6,40,-2
91800,-32500,2070,17,37,-4
94800,-32500,2070,3,12,-4
97900,-32500,2070,-23,66,1
101000,-32500,2070,0,0,0
104000,-32500,2070,-21,109,-7
107000,-32500,2070,-18,206,-6
110000,-32500,2070,-9,238,-5
113000,-32500,2070,-9,262,5
-26200,-29500,2070,-3,307,13
-23200,-29500,2070,-8,236,7
-20200,-29500,2070,-23,267,2
-17100,-29500,2070,-42,348,4
-14100,-29500,2070,-46,275,3
-11100,-29500,2070,-50,212,2
-8050,-29500,2070,-46,94,7
-5030,-29500,2070,-33,71,24
-2000,-29500,2070,-10,86,24
1030,-29500,2070,1,75,14
4050,-29500,2070,42,82,9
7080,-29500,2070,54,87,3
10100,-29500,2070,52,84,-1
13100,-29500,2070,59,64,-7
16200,-29500,2070,67,61,-9
19200,-29500,2070,59,69,-11
22200,-29500,2070,38,68,-16
25200,-29500,2070,13,37,-5
28300,-29500,2070,-29,82,-3
31300,-29500,2070,-6,126,-7
34300,-29500,2070,12,98,-9
37300,-29500,2070,18,54,-10
40400,-29500,2070,4,52,-6
43400,-29500,2070,10,10,-9
46400,-29500,2070,0,0,0
49400,-29500,2070,0,0,0
52500,-29500,2070,-2,1,5
55500,-29500,2070,-36,57,13
58500,-29500,2070,-37,114,18
61600,-29500,2070,-29,122,8
64600,-29500,2070,-8,21,3
67600,-29500,2070,0,0,0
70600,-29500,2070,0,0,0
73700,-29500,2070,-18,29,-7
76700,-29500,2070,17,26,-3
79700,-29500,2070,8,6,2
82700,-29500,2070,-17,25,2
85800,-29500,2070,-33,73,1
88800,-29500,2070,0,0,0
91800,-29500,2070,-12,35,5
94800,-29500,2070,-2,17,9
97900,-29500,2070,14,37,3
101000,-29500,2070,-9,40,-2
104000,-29500,2070,-30,143,-6
107000,-29500,2070,-17,200,-7
110000,-29500,2070,-3,184,-2
113000,-29500,2070,3,256,-4
-26200,-26400,2070,-6,330,-1
-23200,-26400,2070,-12,231,-3
-20200,-26400,2070,-23,267,1
-17100,-26400,2070,-34,325,2
-14100,-26400,2070,-36,269,2
-11100,-26400,2070,-33,191,-1
-8050,-26400,2070,-15,64,-5
-5030,-26400,2070,0,0,0
-2000,-26400,2070,0,0,0
1030,-26400,2070,0,0,0
4050,-26400,2070,0,0,0
7080,-26400,2070,20,29,20
10100,-26400,2070,4,41,17
13100,-26400,2070,31,27,0
16200,-26400,2070,72,56,-1
19200,-26400,2070,68,105,-2
22200,-26400,2070,54,127,0
25200,-26400,2070,17,104,4
28300,-26400,2070,-22,94,5
31300,-26400,2070,-21,110,4
34300,-26400,2070,4,92,2
37300,-26400,2070,17,77,-2
40400,-26400,2070,19,73,-5
43400,-26400,2070,27,53,-9
46400,-26400,2070,21,36,-10
49400,-26400,2070,13,24,-14
52500,-26400,2070,0,0,0
55500,-26400,2070,0,0,0
58500,-26400,2070,2,21,15
61600,-26400,2070,-14,75,15
64600,-26400,2070,0,0,0
67600,-26400,2070,-22,40,1
70600,-26400,2070,0,35,8
73700,-26400,2070,-9,30,0
76700,-26400,2070,0,0,0
79700,-26400,2070,0,0,0
82700,-26400,2070,-15,15,10
85800,-26400,2070,-6,35,5
88800,-26400,2070,0,0,0
91800,-26400,2070,0,0,0
94800,-26400,2070,0,0,0
97900,-26400,2070,0,0,0
101000,-26400,2070,1,54,3
104000,-26400,2070,-9,148,-3
107000,-26400,2070,-1,211,-7
110000,-26400,2070,3,185,-5
113000,-26400,2070,11,229,-19
-26200,-23400,2070,-6,313,-7
-23200,-23400,2070,-15,258,-6
-20200,-23400,2070,-25,272,-1
-17100,-23400,2070,-25,311,0
-14100,-23400,2070,-27,263,-1
-11100,-23400,2070,-31,211,-1
-8050,-23400,2070,-4,28,0
-5030,-23400,2070,-3,12,-3
-2000,-23400,2070,-19,28,-18
1030,-23400,2070,44,29,-19
4050,-23400,2070,6,11,-3
7080,-23400,2070,0,0,0
10100,-23400,2070,0,0,0
13100,-23400,2070,0,0,0
16200,-23400,2070,0,0,0
19200,-23400,2070,8,84,9
22200,-23400,2070,26,105,10
25200,-23400,2070,4,118,10
28300,-23400,2070,-19,86,14
31300,-23400,2070,-20,48,14
34300,-23400,2070,5,38,11
37300,-23400,2070,8,52,4
40400,-23400,2070,2,64,3
43400,-23400,2070,19,47,-2
46400,-23400,2070,42,65,-4
49400,-23400,2070,43,83,-9
52500,-23400,2070,26,88,-18
55500,-23400,2070,19,68,-26
58500,-23400,2070,0,0,0
61600,-23400,2070,11,18,8
64600,-23400,2070,-29,40,-1
67600,-23400,2070,0,0,0
70600,-23400,2070,-10,54,-10
73700,-23400,2070,0,0,0
76700,-23400,2070,0,0,0
79700,-23400,2070,-14,12,-10
82700,-23400,2070,7,21,-10
85800,-23400,2070,0,0,0
88800,-23400,2070,-8,33,-14
91800,-23400,2070,0,0,0
94800,-23400,2070,-10,71,-17
97900,-23400,2070,-15,34,-15
101000,-23400,2070,-29,72,-5
104000,-23400,2070,-8,133,-6
107000,-23400,2070,29,204,-5
110000,-23400,2070,40,225,-12
113000,-23400,2070,16,254,-30
-26200,-20400,2070,-4,352,-9
-23200,-20400,2070,-12,259,-7
-20200,-20400,2070,-23,272,1
-17100,-20400,2070,-22,332,4
-14100,-20400,2070,-16,260,2
-11100,-20400,2070,-16,191,5
-8050,-20400,2070,0,0,0
-5030,-20400,2070,-22,100,2
-2000,-20400,2070,0,0,0
1030,-20400,2070,0,0,0
4050,-20400,2070,52,96,-10
7080,-20400,2070,6,9,-9
10100,-20400,2070,0,0,0
13100,-20400,2070,0,0,0
16200,-20400,2070,0,0,0
19200,-20400,2070,0,0,0
22200,-20400,2070,8,62,1
25200,-20400,2070,-22,97,3
28300,-20400,2070,-3,19,12
31300,-20400,2070,0,0,0
34300,-20400,2070,0,0,0
37300,-20400,2070,-14,56,6
40400,-20400,2070,5,35,8
43400,-20400,2070,0,0,0
46400,-20400,2070,34,36,4
49400,-20400,2070,45,88,6
